id,frame,label,x_est,y_est,psi_est,vel_est
0,78,veh,13.494159808492078,10.83871937481671,1.6134782422201381,2.165172722328662
0,79,veh,13.492485338922844,10.932646428534898,1.612642129105441,2.166794303157241
0,80,veh,13.470902826770782,11.02020891475816,1.6190714025421868,2.1658978173216235
0,81,veh,13.460793703534257,11.12297824247882,1.6209303052779023,2.1716778884624968
0,82,veh,13.454740313012511,11.210333398383844,1.6215281790730538,2.170303170504355
0,83,veh,13.447023819846493,11.295292716170282,1.6227487546842179,2.167900976728855
0,84,veh,13.436692328650077,11.376650067296616,1.624936691238511,2.1639600816093836
0,85,veh,13.427154758167552,11.472633431893236,1.626494930404112,2.166748206527944
0,86,veh,13.42021858187022,11.565651190863521,1.627123962998322,2.1680711782905644
0,87,veh,13.408168277713006,11.654114387046052,1.629657862391138,2.167413437456822
